cluster_cn,cluster_en,case_count,layer,layer_en,rank,factor_cn,factor_en,raw_count,layer_total_count,layer_original_total_count,raw_pct,display_pct,is_others,others_components,excluded_zero_flow_components
超高层,High-rise vertical stock,386,trigger,Ignition sources,7,其他,Others,2,61,80,3.278689,3.3,True,新能源汽车电池起火 (2),电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,1,楼道楼梯间堆物占用,Stairwell clutter,21,63,77,33.333333,33.3,False,,仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,2,后厨油污明火环境,Grease-laden kitchens,11,63,77,17.460317,17.4,False,,仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,3,可燃物暴露堆积,Exposed combustibles,10,63,77,15.873016,15.9,False,,仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,4,市场商铺货物密集,Dense market storage,10,63,77,15.873016,15.9,False,,仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,5,楼内杂物堆积,In-building debris,5,63,77,7.936508,7.9,False,,仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,6,地下空间烟热蓄积,Underground smoke/heat,3,63,77,4.761905,4.8,False,,仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,catalyst,Catalysts,7,其他,Others,3,63,77,4.761905,4.8,True,老旧线路持续带病运行 (3),仓库堆场物料堆积 (7); 厂房车间作业暴露 (6); 外墙保温材料易燃 (1)
超高层,High-rise vertical stock,386,failure,Suppression failures,1,物业巡查与初期处置失效,Patrol & initial response,29,50,57,58.0,58.0,False,,疏散通道堆物堵塞 (6); 安全出口锁闭封堵 (1)
超高层,High-rise vertical stock,386,failure,Suppression failures,2,初期灭火报警设施不可用,Alarm/suppression unavail.,16,50,57,32.0,32.0,False,,疏散通道堆物堵塞 (6); 安全出口锁闭封堵 (1)
超高层,High-rise vertical stock,386,failure,Suppression failures,3,电动自行车入户停放阻碍处置,Indoor e-bike parking,4,50,57,8.0,8.0,False,,疏散通道堆物堵塞 (6); 安全出口锁闭封堵 (1)
超高层,High-rise vertical stock,386,failure,Suppression failures,4,集中充电设施供给不足,Insufficient charging infra.,1,50,57,2.0,2.0,False,,疏散通道堆物堵塞 (6); 安全出口锁闭封堵 (1)
