Public_file,Source,Processing,SHA256
figure/figure3/e/bivariate_grid.csv,Figure 3e anonymous aggregate grid,City selection only; local grid indices without geographic transform,732b027fce67a6a1a64adb02e38adf4b415b05b0c140cad1aadcf59eeb631516
figure/figure3/e/class_counts.csv,Figure 3e class frequencies,Export of reported or processed aggregate values,4476c474b3e9e15133024935b38416039c6819b82c3017f24e186187bdee9383
figure/figure3/class_ranges.csv,Figure 3 bivariate legend class ranges,Byte-identical copy of processed source data,72bbb1b0827f5fef5bd105f8263aa6a67280ec843c9ec7257a552317ca75e1dd
figure/figure4/Fig4a_conceptual_provenance.csv,Final Figure 4 processed data and policy-source note,Byte-identical copy of processed source data,bde6caa5edcae7dd1bef98fb0ccee932dcc33673ad7c703dbb19523f8fd91f7c
figure/figure4/Fig4b_height_fire_relationship.csv,Final Figure 4 processed data and policy-source note,Byte-identical copy of processed source data,46191a35571ac5126fc7b376c8b6ca9fe7be9660f9fe0d90ba75b0b962eddf31
figure/figure5/a/Fig5a_global_importance.csv,Final nine-predictor Figure 5 source data,Byte-identical copy of processed source data,5902e92b3198b9bae791676a1d23ba0c57eff5beee32af31ad20e88f93321fe4
figure/figure5/b/Fig5b_city_directional_importance.csv,Final nine-predictor Figure 5 source data,Author-updated city directional importance; values retained from the supplied Figure 5 folder,028632ca30a2028143ece74e71a292662d482ca4bb31872fcdf6aea3ed9ff897
figure/figure5/c/Fig5_points_Projected_Area.csv,Final Figure 5c plotting points,City-proportional sample without replacement: 10000 of 312384 plotting points; largest-remainder allocation; Python random.Random seed 2026092402; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,ee037f402da061efb1ec8b63840b3aa7e401a42a7580c4611dc012f3f0b0f021
figure/figure5/d/Fig5_points_Mean_Age_Score.csv,Final Figure 5d plotting points,City-proportional sample without replacement: 10000 of 312384 plotting points; largest-remainder allocation; Python random.Random seed 2026092403; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,044bde5b33fb28a620ff02f0537c95cc9a540cc3073f7e5ccd09cdca5a62fcb9
figure/figure5/e/Fig5_points_Height.csv,Final Figure 5e plotting points,City-proportional sample without replacement: 10000 of 316140 plotting points; largest-remainder allocation; Python random.Random seed 2026092404; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,fa9221cb027a5b94a617662506fd619892817baf402ff211a40f89173a309b2d
figure/figure5/f/Fig5_points_Pop_Density.csv,Final Figure 5f plotting points,City-proportional sample without replacement: 10000 of 312384 plotting points; largest-remainder allocation; Python random.Random seed 2026092405; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,3c6b0ccf193ab9d0d952867539d4b645081c481a248525ca1e6ccfb9032b3d6f
figure/figure5/g/Fig5_points_Price.csv,Final Figure 5g plotting points,City-proportional sample without replacement: 10000 of 312482 plotting points; largest-remainder allocation; Python random.Random seed 2026092406; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,ecad5c863ee8b134d66067f752cfd8e5a6c1aca5519a6e3e738ae437cb49c28f
figure/figure5/h/Fig5_points_Effective_Age.csv,Final Figure 5h plotting points,City-proportional sample without replacement: 10000 of 313164 plotting points; largest-remainder allocation; Python random.Random seed 2026092407; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,c83bd3f835ed3e515d2b76d5f62c3582ebb35b31f945719d55f883700c321b37
figure/figure5/i/Fig5_points_Plot_Ratio.csv,Final Figure 5i plotting points,City-proportional sample without replacement: 10000 of 312791 plotting points; largest-remainder allocation; Python random.Random seed 2026092408; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,6db2ade4daba077dbdd0724bb76823afd6692c0406c74b9065da1f35094c9524
figure/figure5/j/Fig5_points_Fee.csv,Final Figure 5j plotting points,City-proportional sample without replacement: 10000 of 314057 plotting points; largest-remainder allocation; Python random.Random seed 2026092409; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,97a7ae435a718e60203f5ea33fcbf81f666f6872be6c0c7ec59e10373a633f61
figure/figure5/a/Fig5_points_EUI.csv,Final Figure 5a EUI points,City-proportional sample without replacement: 10000 of 316172 plotting points; largest-remainder allocation; Python random.Random seed 2026092401; independent feature sample and shuffled row order; original numeric values retained; see figure/figure5/README.md,d9ceaacd4bb685e9109c59620e572731d8a106ebe52bdb44d0581b89dbd6fb30
figure/figure6/Fig6_node_frequencies.csv,Final Figure 6 plotting node/category table,Byte-identical copy of processed source data,844966d1172de6006936f1a6110ec3b28cde87faba9a2fa6eb58df7ac06d7d4e
figure/figure6/Fig6_cooccurrence_edges.csv,Final Figure 6 profile-specific plotting edges,Byte-identical copy of processed source data,6b9890f80050ece59136a44910ee1b153548b89ca8fde63fcc1bfb5937275065
figure/figure6/Fig6_profiles.csv,Final Figure 6 displayed profile definitions,Export of reported or processed aggregate values,592f56af76ec3cbb4a20fbd22a42debb712e7efaf817c30c9458c226f0f6fb70
figure/supplementary/tables/TableS1.csv,Supplementary Table S1,Transcription of final reported table,0cd2787dcfc46901e0ba9fb057b8e284a6b88d4860a0227e2d4ec9ac74a13364
figure/supplementary/tables/TableS3.csv,Supplementary Table S3,Transcription of final reported table,56cfe46c0fe2b52bbc617e1cda14c9827373fc4526d93f5f6ca4dc56aba0b28b
figure/supplementary/tables/TableS5.csv,Supplementary Table S5,Transcription of final reported table,f843a22988205b0f926cc9a924fbcf42a5467989b5e0ff467840fdf7446e641d
figure/supplementary/tables/TableS6.csv,Supplementary Table S6,Transcription of final reported table,a40f4bfac472b8f437394debef3b95678650b001254f6c63d4a1446e8e76be9c
figure/supplementary/tables/TableS7.csv,Supplementary Table S7,Transcription of final reported table,5ac446625b0b1db3acedb5b0d3822858848196ac3c688adb172ab19342ead928
figure/supplementary/tables/TableS8.csv,Supplementary Table S8,Transcription of final reported table,777507d8d0e8778b2765bf5c379c8706cd31130b87d7ce2ee32585cec4f21fa6
figure/supplementary/tables/TableS2_field_definitions.csv,Supplementary Table S2,Field definitions without original inventory values,7794ee400c51f64d0f57b82f25a6a0774b2d64a421a7ed8e5a56ea386f24d84c
metadata/predictor_dictionary.csv,Supplementary Table S5,Nine predictor definitions; precomputed demo values are used unchanged,b3a533c22a1e5d6e1f5008e357918597c6376bc93510bd4e48e8dffbb9a6a10e
figure/supplementary/figureS2/FigS2_reported_summary.csv,Supplementary S1.3 / S2.2 and Figure S2,Reported non-spatial validation summary,a35cd1759808e16637787a28a1a14094456c09b28e2dd346766ee5907f816ce1
figure/supplementary/figureS3/FigS3_reported_summary.csv,Supplementary S1.3 / S2.2 and Figure S3,Reported non-spatial validation summary,fb1c77902545622d1861afa03242f7f36d121f452745af3475b1ed4dccb1e034
figure/supplementary/figureS4/FigS4_reported_summary.csv,Supplementary S1.3 / S2.2 and Figure S4,Reported non-spatial validation summary,1a55af966782dfa1efdab4c0afd2ce35314bb2a3c393f1d3689d2202308ee11f
figure/supplementary/figureS5/FigS5_reported_summary.csv,Supplementary S1.3 / S2.2 and Figure S5,Reported non-spatial validation summary,fb65a167765df565696db508926e095fe73551c8ed44047a1f158071e2c165b8
figure/supplementary/figureS6/FigS6_workflow_counts.csv,Supplementary workflow and manuscript study counts,Export of reported or processed aggregate values,4d42a999818613ea74fa0748b2f9f93e442ff96636ba61e11c8ac11886de6665
figure/supplementary/figureS7/FigS7_temporal_monthly_2020.csv,Supplementary 2020 official-statistics validation,Byte-identical copy of processed source data,275bde6997e84ae2c6f8312933be00c56e4ff1ac26c8d7ad5764f4d39677342e
figure/supplementary/figureS7/FigS7_provincial_2020.csv,Supplementary 2020 official-statistics validation,Byte-identical copy of processed source data,f900eceaa7a80063ef73cfb5659fb9de5656296cea99550e1d0024355ea35f61
figure/supplementary/figureS7/FigS7_provenance_2020.json,Supplementary 2020 official-statistics validation,Byte-identical copy of processed source data,9a6547730fd5ce334c3479127b0de01e89016ff430dbcd7b58c949b93c97afd1
figure/supplementary/figureS7/FigS7_official_validation_derived_statistics.csv,Supplementary 2020 official-statistics validation,Byte-identical copy of processed source data,14e6e20eb261c04db16d0affd456f1f41a415a7f67bec0c01ecfc9cbb0a68fed
figure/supplementary/figureS8/FigS8_roc_curve.csv,Final manuscript Figure S8 processed source series,Byte-identical copy of processed source data,61ac070ac7b7ff1d87526b286297a13fb02b6b3f6cc50d5bdd6841302e78d096
figure/supplementary/figureS8/FigS8_precision_recall_curve.csv,Final manuscript Figure S8 processed source series,Byte-identical copy of processed source data,4c294fdad6c7e997f6fb02c7ee10b15ecc87927c10c70c8f85d42f0442ac3210
figure/supplementary/figureS8/FigS8_calibration_bins.csv,Final manuscript Figure S8 processed source series,Byte-identical copy of processed source data,4c88572079de961152e8d229c647a6cf41bf0caabadc81617ce67f9f6009999e
figure/supplementary/figureS8/FigS8_risk_grade_derived_statistics.csv,Final manuscript Figure S8 processed source series,Byte-identical copy of processed source data,1fdde699fb166fcd44c35a2ea09ca726ad8ca7d18a39c364695cf00ccb1d6aa9
figure/supplementary/figureS8/FigS8_summary_metrics.csv,Final Supplementary Figure S8 results,Preserve full-precision source values; use manuscript metric names and reported rounding,ea43ea957d20e2992c156a7ae3ad0dd990b973ef6b587944621ae6d451d8ac21
figure/supplementary/figureS9/FigS9_risk_grades.csv,Final Chongqing external-validation aggregates,Byte-identical copy of processed source data,4f49fe2dd48e49d2a6c95fa1e1eeaae18078169a789bee3f2281a5de7559ba82
figure/supplementary/figureS9/FigS9_cumulative_fire_capture.csv,Final Chongqing external-validation aggregates,Byte-identical copy of processed source data,86098c0e5ca623828e452394cd7fee900dd58f5fec40410e333afacce3867e1c
figure/supplementary/figureS9/FigS9_metrics.csv,Final Supplementary Chongqing validation,Select manuscript metric definitions; retain values,4da6f700c9ab41cbb3897302cbf19fbe9b244ae932a38e70efdb84ef71511650
figure/supplementary/figureS9/FigS9_development_thresholds.csv,Fixed four-city OOF quantile thresholds used for Chongqing grades,Byte-identical copy of processed source data,e37e8f4c5253c01a0ed82c3f5beefd9b0b98f89c0a55ed9d3ac915fb3a78b9d6
metadata/figure_data_manifest.csv,Final main and Supplementary figure/table structure,Panel-level public-file mapping,811655a386296c460562f9321ce66569edf5e53d19f047f03d46bb6272250715
